task_id,priority,source_id,program_name,round_name,field_name,current_value,extracted_value,source_url,source_quote,confidence,review_reason,review_status,assigned_to,review_notes
RQ-0062,P1,osaka_city_energy,大阪市省エネ設備導入補助金,令和8年度予定,eligibility_detail,,unknown,https://www.city.osaka.lg.jp/kankyo/page/0000653861.html,,medium,manual_review_required,open,,
RQ-0063,P1,higashiosaka_energy,令和8年度東大阪市省エネ設備更新事業補助金,,gBizID_required,,unknown,https://www.city.higashiosaka.lg.jp/0000035654.html,,high,manual_review_required,open,,
RQ-0064,P1,higashiosaka_energy,令和8年度東大阪市省エネ設備更新事業補助金,,license_status,yellow,yellow,https://www.city.higashiosaka.lg.jp/0000035654.html,,high,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0065,P1,hyogo_pref_kasegu,稼ぐ力の強化に向けた設備投資支援事業,第1期,license_status,yellow,yellow,https://web.pref.hyogo.lg.jp/sr07/kaseguchikara.html,,high,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0066,P1,hyogo_pref_kasegu,稼ぐ力の強化に向けた設備投資支援事業,第2期,license_status,yellow,yellow,https://web.pref.hyogo.lg.jp/sr07/kaseguchikara.html,,high,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0067,P1,kyoto_city_people_work,中小企業ひと・しごと環境魅力向上支援事業補助金,令和8年度,license_status,yellow,yellow,https://www.city.kyoto.lg.jp/sankan/page/0000351813.html,,high,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0068,P0,kyoto_pref_startup,京都府起業支援事業費補助金,令和8年度,application_start,,unknown,https://www.pref.kyoto.jp/sangyo-sien/2026kigyoshien.html,,low,missing_critical_field,open,,
RQ-0069,P0,kyoto_pref_startup,京都府起業支援事業費補助金,令和8年度,application_end,,unknown,https://www.pref.kyoto.jp/sangyo-sien/2026kigyoshien.html,,low,missing_critical_field,open,,
RQ-0070,P1,kyoto_pref_startup,京都府起業支援事業費補助金,令和8年度,application_method,,unknown,https://www.pref.kyoto.jp/sangyo-sien/2026kigyoshien.html,,low,manual_review_required,open,,
RQ-0071,P1,kyoto_pref_startup,京都府起業支援事業費補助金,令和8年度,target_area_detail,,unknown,https://www.pref.kyoto.jp/sangyo-sien/2026kigyoshien.html,,low,manual_review_required,open,,
RQ-0072,P1,kyoto_pref_startup,京都府起業支援事業費補助金,令和8年度,license_status,yellow,yellow,https://www.pref.kyoto.jp/sangyo-sien/2026kigyoshien.html,,low,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0073,P0,kyoto_city_dx,中小企業デジタル化・DXモデル構築事業,令和8年度,application_start,,unknown,https://www.city.kyoto.lg.jp/sankan/page/0000353048.html,,low,missing_critical_field,open,,
RQ-0074,P0,kyoto_city_dx,中小企業デジタル化・DXモデル構築事業,令和8年度,application_end,,unknown,https://www.city.kyoto.lg.jp/sankan/page/0000353048.html,,low,missing_critical_field,open,,
RQ-0075,P1,kyoto_city_dx,中小企業デジタル化・DXモデル構築事業,令和8年度,exact_hard_rules,,unknown,https://www.city.kyoto.lg.jp/sankan/page/0000353048.html,,low,manual_review_required,open,,
RQ-0076,P1,kyoto_city_dx,中小企業デジタル化・DXモデル構築事業,令和8年度,license_status,yellow,yellow,https://www.city.kyoto.lg.jp/sankan/page/0000353048.html,,low,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0077,P1,kobe_city_dx,神戸市中小企業DX推進支援補助制度,システム導入事業・通常枠,license_status,yellow,yellow,https://www.city.kobe.lg.jp/a93457/2026dxsystem.html,,high,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0078,P1,kobe_city_dx,神戸市中小企業DX推進支援補助制度,システム導入事業・DXモデル事業枠,license_status,yellow,yellow,https://www.city.kobe.lg.jp/a93457/2026dxsystem.html,,high,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0079,P1,kobe_city_dx,神戸市中小企業DX推進支援補助制度,DX人材育成事業,license_status,yellow,yellow,https://www.city.kobe.lg.jp/a93457/2026dxjinzai.html,,high,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0080,P1,kobe_city_invest,神戸市中小企業投資促進等助成制度,（A）設備投資又は新増設・一般,license_status,yellow,yellow,https://www.city.kobe.lg.jp/a93457/business/sangyoshinko/shokogyo/venture/monodukuri/toshisokushin/08tosisokushinjosei.html,,high,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0081,P1,kobe_city_invest,神戸市中小企業投資促進等助成制度,（A）設備投資・IoT・AI・ロボット,license_status,yellow,yellow,https://www.city.kobe.lg.jp/a93457/business/sangyoshinko/shokogyo/venture/monodukuri/toshisokushin/08tosisokushinjosei.html,,high,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0082,P1,kobe_city_invest,神戸市中小企業投資促進等助成制度,（C）ロボット導入シミュレーション,license_status,yellow,yellow,https://www.city.kobe.lg.jp/a93457/business/sangyoshinko/shokogyo/venture/monodukuri/toshisokushin/08tosisokushinjosei.html,,high,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0083,P1,kobe_city_invest,神戸市中小企業投資促進等助成制度,（D）ロボットSI育成設備取得,license_status,yellow,yellow,https://www.city.kobe.lg.jp/a93457/business/sangyoshinko/shokogyo/venture/monodukuri/toshisokushin/08tosisokushinjosei.html,,high,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
RQ-0084,P1,kobe_city_challenge,中小企業チャレンジサポート補助金,2026年度,license_status,yellow,yellow,https://www.city.kobe.lg.jp/a93457/2026challengesupport.html,,high,license_unknown,open,,利用規約・引用範囲・raw保存可否を確認
